time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
516096,160179,10037,1008,10016,1175
520192,161441,10112,1016,10095,1187
524288,162975,10187,1025,10175,1195
528384,164466,10275,1033,10250,1204
532480,165025,10366,1037,10329,1220
536576,166541,10729,1050,10408,1225
540672,167725,10516,1066,10504,1233
544768,169058,10587,1062,10845,1237
548864,170616,10687,1070,10658,1266
552960,171616,10758,1079,11004,1258
557056,173066,10841,1087,11079,1266
561152,177091,11183,1095,10887,1279
565248,175325,11004,1116,11237,1287
569344,177158,11070,1112,11045,1295
573440,178408,11137,1120,11125,1312
577536,179208,11229,1120,11204,1316
581632,180675,11300,1137,11291,1329
585728,181754,11383,1141,11362,1337
589824,183700,11458,1145,11441,1341
593920,184312,11550,1158,11520,1358
598016,185750,11612,1162,11604,1354
602112,186825,11700,1170,11683,1375
606208,188020,11804,1187,11762,1387
610304,189762,11858,1183,11845,1391
614400,190566,11950,1195,11941,1408
618496,191637,12291,1208,11995,1408
622592,193375,12100,1216,12070,1416
626688,194645,12179,1220,12158,1429
630784,195900,12279,1229,12237,1433
634880,197004,12337,1241,12366,1487
638976,198308,12416,1241,12395,1454
643072,199891,13845,1270,12762,1466
647168,204550,12716,1308,12654,1475
651264,203237,12650,1275,12633,1483
655360,203325,12729,1279,12720,1495
659456,204587,12812,1287,12787,1504
663552,206095,12891,1295,12866,1512
667648,207125,12975,1300,12945,1520
671744,208429,13045,1312,13029,1529
675840,209666,13133,1316,13108,1541
679936,212929,13204,1325,13187,1550
684032,212200,13304,1350,13262,1558
688128,213495,13345,1337,13358,1579
692224,214737,13462,1350,13700,1579
696320,216237,13525,1362,13495,1595
700416,217275,13604,1379,13595,1612
704512,218545,13687,1375,13658,1600
708608,219808,13762,1383,13733,1616
712704,221375,13854,1408,13816,1620
716800,222091,13920,1395,13912,1641
720896,224875,14004,1400,13983,1641
724992,225720,14083,1408,14062,1645
729088,226408,14179,1416,14150,1658
733184,227470,14245,1429,14216,1666
737280,228695,14312,1437,14295,1679
741376,229958,14404,1458,14391,1683
745472,231750,14475,1454,14454,1700
749568,232504,14550,1462,14533,1704
753664,233770,14645,1487,14625,1716
757760,235058,14708,1479,14691,1725
761856,236816,14804,1483,14770,1737
765952,237316,14883,1508,14866,1754
770048,238845,14950,1504,14920,1754
774144,240350,15029,1508,15025,1779
778240,241387,15108,1512,15091,1770
782336,244341,15191,1525,15170,1775
786432,243983,15266,1533,15245,1791
790528,245708,15345,1541,15325,1808
794624,246470,15425,1570,15429,1808
798720,247741,15508,1554,15508,1816
802816,249116,15612,1562,15587,1825
806912,250091,15683,1587,15670,1841
811008,251645,15770,1579,15745,1870
815104,252550,15841,1608,15825,1854
819200,254729,15904,1600,15875,1862
823296,255358,15979,1604,15954,1875
827392,256391,16354,1612,16037,1883
831488,258250,16145,1620,16120,1883
835584,259204,16225,1625,16204,1904
839680,260429,16304,1637,16279,1912
843776,261704,16395,1662,16379,1941
847872,263300,16458,1654,16437,1929
851968,264229,16541,1658,16925,1941
856064,265566,16600,1670,16587,1950
860160,267125,16708,1695,16695,1958
864256,268041,16775,1687,16754,1962
868352,270266,16854,1691,16858,1995
872448,275870,17225,1695,16912,1991
876544,271845,17008,1704,16991,2000
880640,272916,17395,1716,17079,2004
884736,274745,17175,1720,17145,2012
888832,275650,17250,1733,17225,2020
892928,276925,17320,1737,17337,2020
897024,278200,17408,2370,17387,2045
901120,279191,17487,1758,17754,2054
905216,280733,17575,1762,17545,2062
909312,282000,17645,1770,17625,2075
913408,283725,18004,1779,17708,2083
917504,284541,17804,1783,17787,2079
921600,285808,17883,1787,17866,2095
925696,287666,17966,1800,17945,2108
929792,288350,18045,1812,18020,2116
933888,289616,18120,1816,18100,2125
937984,292816,18500,1829,18183,2133
942080,292279,18295,1837,18541,2150
946176,293150,18637,1837,18366,2175
950272,295304,18441,1850,18416,2166
954368,299420,18816,1854,18504,2170
958464,297229,18604,1862,18579,2183
962560,298812,18675,1883,18658,2187
966656,299766,18766,1875,18745,2200
970752,301041,18862,1887,19445,2212
974848,302304,18908,1900,18891,2220
978944,303604,18970,1912,18966,2229
983040,305175,19075,1908,19054,2237
987136,306112,19154,1916,19133,2254
991232,307375,19241,1933,19495,2258
995328,309279,19295,1929,19312,2266
999424,309912,19391,1941,19375,2270
1003520,311258,19462,1950,19445,2287
1007616,312825,19545,1958,19533,2291
1011712,313729,19612,1966,19900,2304
1015808,314841,20004,1975,19687,2312
1019904,316887,19779,1979,19766,2320
1024000,317529,19870,1987,19845,2329
1028096,318529,19975,2025,20220,2337
1032192,322404,20033,2008,20016,2350
1036288,321337,20129,2016,20087,2362
1040384,322962,20183,2029,20166,2366
1044480,323875,20270,2033,20241,2375
1048576,326083,20541,20625,20583,24125
2097152,655958,40625,40708,40625,47708
3145728,979625,61042,61458,60959,71709
4194304,1301625,81459,82583,81291,98542
5242880,1634958,101750,103208,101792,119667
6291456,1950958,125000,123834,121916,143333
7340032,2326750,142500,144500,142208,167250
8388608,2702250,172000,171583,168542,199084
9437184,2943000,203709,192334,189917,219625
10485760,3262959,217000,218792,213375,245542
11534336,3628375,240250,245583,236208,272000
12582912,3963917,260125,275583,258667,297125
13631488,4257917,286250,297250,281750,320959
14680064,4572500,300125,319917,299042,343542
15728640,4933625,318208,343334,315500,368458
16777216,5286167,335125,361958,333792,388375
17825792,5541334,350833,381167,350084,409625
18874368,5859209,369208,403291,369208,435500
19922944,6213125,391125,425583,390000,459875
20971520,6534000,411917,449541,412459,480541
22020096,6827166,431542,474292,429417,506541
23068672,7150375,451959,491375,452500,533167
24117248,7552792,475083,513583,470250,554500
25165824,7859917,493291,535792,493375,576000
26214400,8130041,516417,560708,511042,605042
27262976,8449959,536916,580584,536708,626333
28311552,8825334,560000,603166,554584,647708
